iter	Passed	Remaining
0	184	110330
1	197	58923
2	237	47332
3	258	38587
4	288	34320
5	329	32610
6	344	29161
7	385	28505
8	428	28145
9	464	27422
10	506	27111
11	548	26895
12	595	26875
13	622	26071
14	644	25144
15	672	24553
16	717	24614
17	758	24539
18	799	24447
19	831	24105
20	872	24045
21	914	24021
22	955	23977
23	981	23560
24	1022	23525
25	1064	23506
26	1113	23630
27	1158	23664
28	1203	23691
29	1248	23715
30	1291	23702
31	1334	23682
32	1359	23361
33	1394	23209
34	1429	23073
35	1472	23072
36	1514	23037
37	1555	23004
38	1604	23080
39	1637	22928
40	1679	22897
41	1722	22883
42	1768	22908
43	1814	22924
44	1853	22859
45	1880	22648
46	1918	22567
47	1959	22530
48	1989	22367
49	2025	22278
50	2060	22179
51	2112	22261
52	2157	22264
53	2189	22136
54	2231	22116
55	2278	22130
56	2303	21944
57	2346	21927
58	2375	21786
59	2418	21769
60	2460	21742
61	2502	21712
62	2544	21687
63	2586	21664
64	2627	21629
65	2653	21466
66	2682	21340
67	2722	21301
68	2730	21009
69	2770	20973
70	2812	20955
71	2853	20925
72	2883	20814
73	2889	20541
74	2934	20538
75	2979	20543
76	3025	20546
77	3065	20517
78	3108	20499
79	3151	20484
80	3186	20419
81	3229	20400
82	3270	20371
83	3295	20244
84	3338	20228
85	3379	20199
86	3405	20083
87	3446	20051
88	3481	19989
89	3511	19900
90	3552	19869
91	3592	19839
92	3634	19815
93	3675	19785
94	3700	19672
95	3741	19643
96	3772	19560
97	3812	19527
98	3853	19500
99	3883	19416
100	3923	19386
101	3958	19326
102	3996	19283
103	4040	19271
104	4082	19244
105	4127	19233
106	4176	19243
107	4222	19236
108	4267	19221
109	4307	19189
110	4349	19161
111	4391	19136
112	4433	19107
113	4468	19050
114	4498	18971
115	4540	18946
116	4582	18916
117	4612	18838
118	4627	18704
119	4667	18671
120	4702	18617
121	4744	18589
122	4786	18562
123	4828	18533
124	4869	18502
125	4899	18429
126	4940	18399
127	4981	18370
128	5011	18299
129	5052	18267
130	5089	18219
131	5130	18189
132	5171	18157
133	5207	18108
134	5236	18037
135	5279	18011
136	5323	17989
137	5368	17974
138	5408	17937
139	5452	17914
140	5487	17863
141	5528	17831
142	5569	17798
143	5598	17729
144	5639	17694
145	5680	17662
146	5721	17631
147	5752	17568
148	5792	17534
149	5822	17468
150	5856	17415
151	5897	17382
152	5939	17353
153	5981	17322
154	6025	17300
155	6064	17261
156	6107	17233
157	6153	17214
158	6199	17193
159	6241	17164
160	6283	17132
161	6323	17097
162	6358	17046
163	6398	17010
164	6439	16976
165	6486	16957
166	6531	16935
167	6572	16900
168	6614	16869
169	6656	16836
170	6691	16788
171	6733	16755
172	6807	16801
173	6849	16769
174	6890	16734
175	6921	16674
176	6958	16629
177	7000	16597
178	7044	16569
179	7103	16574
180	7147	16546
181	7190	16514
182	7231	16478
183	7273	16443
184	7313	16405
185	7354	16370
186	7395	16333
187	7436	16296
188	7476	16259
189	7518	16223
190	7558	16185
191	7603	16157
192	7647	16126
193	7691	16097
194	7737	16069
195	7782	16041
196	7823	16004
197	7863	15965
198	7905	15929
199	7946	15892
200	7986	15854
201	8033	15828
202	8074	15791
203	8116	15755
204	8159	15721
205	8200	15683
206	8240	15645
207	8282	15609
208	8322	15570
209	8363	15531
210	8403	15493
211	8445	15456
212	8485	15417
213	8526	15379
214	8568	15343
215	8609	15305
216	8649	15266
217	8690	15228
218	8731	15190
219	8771	15151
220	8826	15136
221	8873	15108
222	8916	15073
223	8960	15040
224	9003	15005
225	9046	14971
226	9091	14938
227	9137	14908
228	9178	14870
229	9219	14831
230	9259	14791
231	9300	14752
232	9341	14713
233	9382	14675
234	9422	14635
235	9463	14595
236	9503	14556
237	9547	14521
238	9588	14482
239	9629	14444
240	9670	14404
241	9710	14365
242	9752	14327
243	9793	14288
244	9833	14249
245	9874	14210
246	9915	14171
247	9957	14132
248	10001	14098
249	10046	14065
250	10093	14033
251	10136	13997
252	10178	13960
253	10218	13919
254	10262	13884
255	10303	13844
256	10343	13804
257	10383	13764
258	10424	13725
259	10464	13684
